format,date,opponent,venue,result,nepal_runs,nepal_wickets_lost,opponent_runs,opponent_wickets_lost
ODI,"August 14, 2010",United States of America,Ovale di Rastignano,No Result,51.0,2.0,,
ODI,"August 18, 2010",Argentina,Centro Sportivo Dozza,Won,194.0,2.0,193.0,8.0
ODI,"August 19, 2010",United States of America,Ovale di Rastignano,Lost,148.0,10.0,203.0,8.0
ODI,"August 20, 2010",Cayman Islands,Centro Sportivo Ca'Nova,Won,70.0,3.0,69.0,10.0
ODI,"September 03, 2012",Singapore,Selangor Turf Club,Won,112.0,5.0,111.0,10.0
ODI,"September 04, 2012",Tanzania,Bayuemas Oval,Won,83.0,2.0,82.0,10.0
ODI,"September 06, 2012",Malaysia,Selangor Turf Club,Won,71.0,0.0,69.0,10.0
ODI,"September 07, 2012",United States of America,Kinrara Academy Oval,Won,258.0,8.0,226.0,10.0
ODI,"September 09, 2012",Denmark,Kinrara Academy Oval,Won,240.0,10.0,130.0,9.0
ODI,"April 28, 2013",United States of America,Somerset Cricket Club,Lost,272.0,10.0,366.0,6.0
ODI,"May 01, 2013",Bermuda,"Lords, St David's Cricket Club Ground",Won,107.0,2.0,106.0,10.0
ODI,"May 04, 2013",Italy,"Lords, St David's Cricket Club Ground",Won,129.0,2.0,127.0,9.0
ODI,"May 05, 2013",Uganda,National Stadium,Won,153.0,5.0,151.0,8.0
T20I,"March 16, 2014",Hong Kong,Zahur Ahmed Chowdhury Stadium,Won,149.0,8.0,69.0,10.0
T20I,"March 18, 2014",Bangladesh,Zahur Ahmed Chowdhury Stadium,Lost,126.0,5.0,132.0,2.0
ODI,"May 01, 2014",United Arab Emirates,Selangor Turf Club,Won,195.0,6.0,191.0,10.0
ODI,"May 02, 2014",Malaysia,Bayuemas Oval,Won,150.0,5.0,149.0,10.0
ODI,"May 05, 2014",Hong Kong,Bayuemas Oval,Won,147.0,3.0,181.0,10.0
ODI,"October 23, 2014",Uganda,Kinrara Academy Oval,Lost,183.0,10.0,203.0,8.0
ODI,"October 24, 2014",Bermuda,Selangor Turf Club,Won,101.0,2.0,100.0,10.0
ODI,"October 27, 2014",United States of America,Kinrara Academy Oval,No Result,27.0,3.0,204.0,10.0
ODI,"October 29, 2014",Malaysia,Selangor Turf Club,Won,89.0,2.0,142.0,10.0
ODI,"October 30, 2014",Uganda,Kinrara Academy Oval,Won,223.0,10.0,161.0,10.0
T20I,"November 24, 2014",Hong Kong,P Sara Oval,Lost,72.0,10.0,73.0,8.0
ODI,"January 17, 2015",Uganda,Affies Park,Lost,144.0,10.0,146.0,10.0
ODI,"January 18, 2015",Netherlands,United Cricket Club Ground,Won,159.0,8.0,158.0,10.0
ODI,"January 20, 2015",Canada,Wanderers Cricket Ground,Won,115.0,3.0,114.0,10.0
ODI,"January 21, 2015",Namibia,United Cricket Club Ground,Won,146.0,7.0,142.0,10.0
ODI,"January 23, 2015",Kenya,Affies Park,Lost,194.0,10.0,195.0,5.0
ODI,"January 24, 2015",Kenya,Affies Park,Lost,193.0,10.0,208.0,9.0
T20I,"July 01, 2015",Netherlands,VRA Ground,Lost,69.0,10.0,172.0,4.0
T20I,"July 02, 2015",Netherlands,Hazelaarweg,Lost,131.0,9.0,149.0,6.0
T20I,"July 13, 2015",Ireland,"Civil Service Cricket Club, Stormont",Lost,53.0,10.0,54.0,2.0
T20I,"July 15, 2015",Hong Kong,"Civil Service Cricket Club, Stormont",Lost,109.0,10.0,110.0,5.0
T20I,"July 17, 2015",Papua New Guinea,"The Village, Malahide",Lost,93.0,10.0,99.0,2.0
ODI,"November 14, 2015",Oman,Sheikh Zayed Stadium Nursery 1,Lost,184.0,10.0,187.0,7.0
ODI,"November 16, 2015",Papua New Guinea,Sheikh Zayed Stadium,Lost,232.0,8.0,235.0,8.0
ODI,"November 18, 2015",Papua New Guinea,Sheikh Zayed Stadium,Lost,224.0,8.0,225.0,7.0
ODI,"April 16, 2016",Namibia,Tribhuvan University International Cricket Ground,Won,197.0,5.0,195.0,9.0
ODI,"April 18, 2016",Namibia,Tribhuvan University International Cricket Ground,Won,240.0,7.0,239.0,9.0
ODI,"August 13, 2016",Netherlands,VRA Ground,Lost,94.0,10.0,96.0,3.0
ODI,"March 11, 2017",Kenya,Tribhuvan University International Cricket Ground,Lost,112.0,8.0,98.0,5.0
ODI,"March 13, 2017",Kenya,Tribhuvan University International Cricket Ground,Won,160.0,3.0,155.0,10.0
ODI,"October 13, 2017",Hong Kong,"Mission Road Ground, Mong Kok",Lost,111.0,10.0,194.0,10.0
ODI,"December 06, 2017",United Arab Emirates,Sheikh Zayed Stadium,Lost,221.0,6.0,225.0,3.0
ODI,"December 08, 2017",United Arab Emirates,Sheikh Zayed Stadium,Lost,132.0,10.0,195.0,10.0
ODI,"February 09, 2018",Oman,Affies Park,Lost,138.0,10.0,139.0,4.0
ODI,"February 11, 2018",United Arab Emirates,United Cricket Club Ground,Won,115.0,6.0,114.0,10.0
ODI,"February 12, 2018",Kenya,Wanderers Cricket Ground,Won,178.0,7.0,177.0,8.0
ODI,"February 14, 2018",Canada,Wanderers Cricket Ground,Won,195.0,9.0,194.0,8.0
ODI,"February 15, 2018",United Arab Emirates,Wanderers Cricket Ground,Lost,270.0,8.0,277.0,4.0
ODI,"March 04, 2018",Zimbabwe,Queens Sports Club,Lost,264.0,8.0,380.0,6.0
ODI,"March 08, 2018",Scotland,Queens Sports Club,Lost,149.0,10.0,153.0,6.0
ODI,"March 12, 2018",Hong Kong,Bulawayo Athletic Club,Won,155.0,5.0,153.0,10.0
ODI,"March 15, 2018",Papua New Guinea,Old Hararians Sports Club,Won,115.0,4.0,114.0,10.0
ODI,"March 17, 2018",Netherlands,Kwekwe Sports Club,Lost,144.0,10.0,189.0,9.0
T20I,"July 29, 2018",Netherlands,Lord's,No Result,,,174.0,4.0
ODI,"August 30, 2018",United Arab Emirates,Kinrara Academy Oval,Lost,176.0,10.0,254.0,9.0
ODI,"January 25, 2019",United Arab Emirates,ICC Academy,Lost,113.0,10.0,116.0,7.0
ODI,"January 26, 2019",United Arab Emirates,ICC Academy,Won,242.0,9.0,97.0,10.0
ODI,"January 28, 2019",United Arab Emirates,ICC Academy,Won,255.0,6.0,254.0,6.0
T20I,"January 31, 2019",United Arab Emirates,ICC Academy,Lost,132.0,7.0,153.0,6.0
T20I,"February 01, 2019",United Arab Emirates,ICC Academy,Won,111.0,6.0,107.0,10.0
T20I,"February 03, 2019",United Arab Emirates,ICC Academy,Won,104.0,8.0,90.0,8.0
T20I,"July 13, 2019",Malaysia,Kinrara Academy Oval,Won,129.0,3.0,128.0,9.0
T20I,"July 14, 2019",Malaysia,Kinrara Academy Oval,Won,173.0,6.0,167.0,7.0
T20I,"July 23, 2019",Qatar,Indian Association Ground,Lost,122.0,10.0,124.0,6.0
T20I,"July 24, 2019",Malaysia,Indian Association Ground,Won,86.0,3.0,83.0,7.0
T20I,"July 27, 2019",Kuwait,Indian Association Ground,Won,143.0,3.0,141.0,9.0
T20I,"July 28, 2019",Singapore,Indian Association Ground,Lost,109.0,10.0,191.0,6.0
T20I,"September 27, 2019",Zimbabwe,Indian Association Ground,Lost,132.0,6.0,133.0,5.0
T20I,"September 28, 2019",Singapore,Indian Association Ground,Won,154.0,1.0,151.0,3.0
T20I,"October 01, 2019",Zimbabwe,Indian Association Ground,Lost,120.0,9.0,160.0,6.0
T20I,"October 06, 2019",Hong Kong,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Won,126.0,6.0,125.0,6.0
T20I,"October 07, 2019",Netherlands,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Won,134.0,6.0,133.0,10.0
T20I,"October 09, 2019",Ireland,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Lost,132.0,10.0,145.0,8.0
T20I,"October 10, 2019",Oman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Lost,64.0,10.0,65.0,4.0
T20I,"December 05, 2019",Bhutan,Tribhuvan University International Cricket Ground,Won,236.0,3.0,95.0,6.0
T20I,"December 06, 2019",Maldives,Tribhuvan University International Cricket Ground,Won,163.0,7.0,79.0,6.0
T20I,"December 09, 2019",Maldives,Tribhuvan University International Cricket Ground,Won,98.0,5.0,94.0,9.0
ODI,"February 05, 2020",Oman,Tribhuvan University International Cricket Ground,Lost,179.0,10.0,197.0,9.0
ODI,"February 08, 2020",United States of America,Tribhuvan University International Cricket Ground,Won,190.0,10.0,155.0,10.0
ODI,"February 09, 2020",Oman,Tribhuvan University International Cricket Ground,Lost,249.0,8.0,250.0,2.0
