format,date,opponent,venue,result,nepal_runs,nepal_wickets_lost,opponent_runs,opponent_wickets_lost
T20I,"March 16, 2014",Hong Kong,Zahur Ahmed Chowdhury Stadium,Won,149.0,8.0,69,10
T20I,"March 18, 2014",Bangladesh,Zahur Ahmed Chowdhury Stadium,Lost,126.0,5.0,132,2
T20I,"November 24, 2014",Hong Kong,P Sara Oval,Lost,72.0,10.0,73,8
T20I,"July 01, 2015",Netherlands,VRA Ground,Lost,69.0,10.0,172,4
T20I,"July 02, 2015",Netherlands,Hazelaarweg,Lost,131.0,9.0,149,6
T20I,"July 13, 2015",Ireland,"Civil Service Cricket Club, Stormont",Lost,53.0,10.0,54,2
T20I,"July 15, 2015",Hong Kong,"Civil Service Cricket Club, Stormont",Lost,109.0,10.0,110,5
T20I,"July 17, 2015",Papua New Guinea,"The Village, Malahide",Lost,93.0,10.0,99,2
T20I,"July 29, 2018",Netherlands,Lord's,No Result,,,174,4
T20I,"January 31, 2019",United Arab Emirates,ICC Academy,Lost,132.0,7.0,153,6
T20I,"February 01, 2019",United Arab Emirates,ICC Academy,Won,111.0,6.0,107,10
T20I,"February 03, 2019",United Arab Emirates,ICC Academy,Won,104.0,8.0,90,8
T20I,"July 13, 2019",Malaysia,Kinrara Academy Oval,Won,129.0,3.0,128,9
T20I,"July 14, 2019",Malaysia,Kinrara Academy Oval,Won,173.0,6.0,167,7
T20I,"July 23, 2019",Qatar,Indian Association Ground,Lost,122.0,10.0,124,6
T20I,"July 24, 2019",Malaysia,Indian Association Ground,Won,86.0,3.0,83,7
T20I,"July 27, 2019",Kuwait,Indian Association Ground,Won,143.0,3.0,141,9
T20I,"July 28, 2019",Singapore,Indian Association Ground,Lost,109.0,10.0,191,6
T20I,"September 27, 2019",Zimbabwe,Indian Association Ground,Lost,132.0,6.0,133,5
T20I,"September 28, 2019",Singapore,Indian Association Ground,Won,154.0,1.0,151,3
T20I,"October 01, 2019",Zimbabwe,Indian Association Ground,Lost,120.0,9.0,160,6
T20I,"October 06, 2019",Hong Kong,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Won,126.0,6.0,125,6
