Player,Matches,Innings,Not Outs,Runs,Highest Score,Average,Strike Rate,Balls Faced,100s,50s,Fours,Sixes,T20I Matches,T20I Runs,ODI Matches,ODI Runs
RK Paudel,153,153,26,3766,126,29.65,87.03,4327,2,18,289,85,74,1575,79,2191
DS Airee,149,149,31,3359,110,28.47,99.47,3377,2,17,248,103,76,1919,73,1440
Aasif Sheikh,126,126,10,3258,110,28.09,93.51,3484,1,23,342,80,65,1628,61,1630
K Bhurtel,132,132,9,3153,115,25.63,102.34,3081,2,21,315,104,70,1791,62,1362
G Malla,111,111,11,2658,107,26.58,76.53,3473,1,12,252,55,34,780,77,1878
P Khadka,81,81,15,2254,115,34.15,93.99,2398,4,10,238,69,28,690,53,1564
Aarif Sheikh,103,103,16,2112,84,24.28,72.06,2931,0,10,164,22,34,523,69,1589
Kushal Malla,86,86,13,1766,137,24.19,111.14,1589,2,8,119,112,52,965,34,801
Sompal Kami,116,116,36,1329,67,16.61,80.74,1646,0,2,97,34,45,354,71,975
Gulsan Jha,72,72,21,1293,67,25.35,100.08,1292,0,5,80,77,39,595,33,698
S Vesawkar,52,52,17,1172,81,33.49,66.25,1769,0,8,84,16,16,266,36,906
Karan KC,100,100,30,1146,65,16.37,111.05,1032,0,1,71,75,44,458,56,688
B Sharki,35,35,3,1024,101,32.0,69.57,1472,1,4,99,8,2,39,33,985
B Bhandari,59,59,12,971,73,20.66,84.0,1156,0,4,80,30,26,363,33,608
SP Khakurel,36,36,4,658,115,20.56,63.03,1044,1,3,61,7,6,54,30,604
AK Sah,32,32,2,639,112,21.3,92.61,690,1,4,64,24,13,218,19,421
S Lamichhane,68,68,24,577,49,13.11,80.7,715,0,0,45,11,18,67,50,510
S Jora,36,36,7,540,63,18.62,116.13,465,0,4,31,24,31,484,5,56
D Khanal,15,15,0,360,76,24.0,70.45,511,0,3,28,7,3,31,12,329
Sagar Pun,24,24,2,322,64,14.64,54.03,596,0,1,32,2,7,78,17,244
AK Mandal,15,15,2,313,113,24.08,72.62,431,1,1,31,7,1,2,14,311
PS Airee,18,18,3,294,60,19.6,86.73,339,0,1,33,10,10,79,8,215
NB Budayair,17,17,2,273,62,18.2,50.84,537,0,2,23,5,2,5,15,268
A Saud,14,14,2,259,51,21.58,57.81,448,0,1,24,8,3,70,11,189
B Regmi,35,35,12,226,24,9.83,51.95,435,0,0,16,0,8,21,27,205
Mohammad Aadil Alam,15,15,3,192,36,16.0,112.94,170,0,0,14,10,11,122,4,70
P Sarraf,24,24,3,179,27,8.52,76.82,233,0,0,20,6,14,107,10,72
Lokesh Bam,15,15,3,160,39,13.33,146.79,109,0,0,11,13,15,160,0,0
SP Gauchan,23,23,11,144,39,12.0,43.64,330,0,0,8,4,5,13,18,131
Basir Ahamad,6,6,1,137,80,27.4,107.87,127,0,1,11,4,3,123,3,14
D Nath,11,11,1,112,41,11.2,49.56,226,0,0,14,0,3,15,8,97
M Alam,8,8,2,95,53,15.83,71.97,132,0,1,10,1,0,0,8,95
B Yadav,11,11,2,91,39,10.11,112.35,81,0,0,2,8,11,91,0,0
NK Yadav,9,9,5,80,37,20.0,148.15,54,0,0,4,6,6,68,3,12
MK Chhetri,4,4,0,74,36,18.5,62.71,118,0,0,9,0,0,0,4,74
Rupesh Singh,4,4,1,65,43,21.67,141.3,46,0,0,2,4,4,65,0,0
LN Rajbanshi,31,31,19,57,11,4.75,28.36,201,0,0,4,0,5,8,26,49
RP Magar,7,7,0,49,25,7.0,46.67,105,0,0,1,2,5,39,2,10
KS Airee,6,6,2,45,18,11.25,107.14,42,0,0,3,1,3,18,3,27
A Bohara,15,15,8,36,12,5.14,76.6,47,0,0,1,1,13,23,2,13
I Pandey,4,4,0,33,22,8.25,66.0,50,0,0,5,0,4,33,0,0
BK Das,3,3,0,28,15,9.33,116.67,24,0,0,1,2,0,0,3,28
P Baskota,2,2,1,26,19,26.0,86.67,30,0,0,3,1,0,0,2,26
K Thagunna,2,2,0,25,15,12.5,60.98,41,0,0,1,0,2,25,0,0
S Bhari,11,11,8,24,11,8.0,38.1,63,0,0,2,0,4,1,7,23
S Regmi,3,3,1,19,14,9.5,86.36,22,0,0,2,0,0,0,3,19
Pratis GC,6,6,4,18,11,9.0,105.88,17,0,0,1,0,5,7,1,11
S Dhamala,3,3,0,16,12,5.33,29.63,54,0,0,0,0,0,0,3,16
RK Vishwakarma,1,1,1,11,11,11.0,36.67,30,0,0,0,0,0,0,1,11
R Dhakal,4,4,2,11,5,5.5,91.67,12,0,0,0,0,2,6,2,5
